case_id,ticker,domain,decision_date,horizon_days,target_date,entry_date,exit_date,entry_close,exit_close,raw_return,benchmark_ticker,benchmark_entry_date,benchmark_exit_date,benchmark_entry_close,benchmark_exit_close,benchmark_return,excess_return,outcome_label,label_status,missing_reason,price_source,benchmark_source,source_snapshot_paths,label_policy_id,generated_at,metadata
XOM_2020_03_31,XOM,oil,2020-03-31,63,2020-06-02,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.425835+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2020_03_31,XOM,oil,2020-03-31,126,2020-08-04,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.426039+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2020_06_30,XOM,oil,2020-06-30,63,2020-09-01,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.426198+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2020_06_30,XOM,oil,2020-06-30,126,2020-11-03,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.426360+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2020_09_30,XOM,oil,2020-09-30,63,2020-12-02,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.426515+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2020_09_30,XOM,oil,2020-09-30,126,2021-02-03,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.426681+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2020_12_31,XOM,oil,2020-12-31,63,2021-03-04,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.426823+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2020_12_31,XOM,oil,2020-12-31,126,2021-05-06,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.426967+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2021_03_31,XOM,oil,2021-03-31,63,2021-06-02,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.427108+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
XOM_2021_03_31,XOM,oil,2021-03-31,126,2021-08-04,,,,,,SPY,,,,,,,UNKNOWN,missing_price,ticker price data missing,,,[],default_market_outcome_labels,2026-06-03T15:04:07.427245+00:00,"{""label_only_future_data"": true, ""raw_return_fallback_used"": false}"
